60
Эп   636 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0312 | Награда:   117.40 | Ср.награда(100):   404.48 | Шаги:   54
Эп   637 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0306 | Награда:  1979.20 | Ср.награда(100):   423.48 | Шаги:  202
Эп   638 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0303 | Награда:   607.60 | Ср.награда(100):   422.18 | Шаги:   92
Эп   639 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0302 | Награда:   140.40 | Ср.награда(100):   424.41 | Шаги:   57
Эп   640 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0297 | Награда:  1564.00 | Ср.награда(100):   440.87 | Шаги:  165
Эп   641 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0295 | Награда:    18.00 | Ср.награда(100):   442.44 | Шаги:   52
Эп   642 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0293 | Награда:   381.80 | Ср.награда(100):   440.99 | Шаги:   64
Эп   643 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0288 | Награда:  1656.80 | Ср.награда(100):   442.90 | Шаги:  178
Эп   644 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0284 | Награда:  1048.20 | Ср.награда(100):   441.28 | Шаги:  135
Эп   645 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0280 | Награда:   992.80 | Ср.награда(100):   442.62 | Шаги:  134
Эп   646 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0278 | Награда:   835.20 | Ср.награда(100):   442.41 | Шаги:   99
Эп   647 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0271 | Награда:  2775.80 | Ср.награда(100):   468.67 | Шаги:  250
Эп   648 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0266 | Награда:  1684.20 | Ср.награда(100):   485.25 | Шаги:  177
Эп   649 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0264 | Награда:   381.40 | Ср.награда(100):   489.17 | Шаги:   62
Эп   650 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0262 | Награда:   647.80 | Ср.награда(100):   483.45 | Шаги:   97
Эп   651 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0258 | Награда:  1080.20 | Ср.награда(100):   485.58 | Шаги:  133
Эп   652 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0256 | Награда:   679.80 | Ср.награда(100):   493.20 | Шаги:   97
Эп   653 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0254 | Награда:   360.80 | Ср.награда(100):   496.90 | Шаги:   62
Эп   654 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0252 | Награда:   833.20 | Ср.награда(100):   506.05 | Шаги:  103
Эп   655 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0250 | Награда:   356.40 | Ср.награда(100):   506.21 | Шаги:   64
Эп   656 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0250 | Награда:   -82.00 | Ср.награда(100):   506.21 | Шаги:   19
Эп   657 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0249 | Награда:   -82.00 | Ср.награда(100):   506.21 | Шаги:   19
Эп   658 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0249 | Награда:   -82.00 | Ср.награда(100):   506.21 | Шаги:   19
Эп   659 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0245 | Награда:  1157.40 | Ср.награда(100):   518.61 | Шаги:  138
Эп   660 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0245 | Награда:   -82.00 | Ср.награда(100):   516.94 | Шаги:   19
Эп   661 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0244 | Награда:   -82.00 | Ср.награда(100):   516.94 | Шаги:   19
Эп   662 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0244 | Награда:   -82.00 | Ср.награда(100):   516.94 | Шаги:   19
Эп   663 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0243 | Награда:   -82.00 | Ср.награда(100):   515.20 | Шаги:   19
Эп   664 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0243 | Награда:   -82.00 | Ср.награда(100):   509.24 | Шаги:   19
Эп   665 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0241 | Награда:   365.20 | Ср.награда(100):   514.54 | Шаги:   63
Эп   666 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0239 | Награда:   780.00 | Ср.награда(100):   520.90 | Шаги:  104
Эп   667 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0238 | Награда:   148.60 | Ср.награда(100):   518.21 | Шаги:   59
Эп   668 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0234 | Награда:  1343.00 | Ср.награда(100):   532.78 | Шаги:  159
Эп   669 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0231 | Награда:   731.40 | Ср.награда(100):   541.40 | Шаги:  104
Эп   670 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0230 | Награда:   157.80 | Ср.награда(100):   542.52 | Шаги:   60
Эп   671 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0226 | Награда:  1605.40 | Ср.награда(100):   558.11 | Шаги:  175
Эп   672 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0225 | Награда:   407.00 | Ср.награда(100):   563.00 | Шаги:   66
Эп   673 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0223 | Награда:   115.80 | Ср.награда(100):   560.49 | Шаги:   56
Эп   674 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0222 | Награда:   136.40 | Ср.награда(100):   557.51 | Шаги:   58
Эп   675 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0222 | Награда:   -82.00 | Ср.награда(100):   553.12 | Шаги:   19
Эп   676 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0220 | Награда:   249.20 | Ср.награда(100):   551.06 | Шаги:   62
Эп   677 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0219 | Награда:   369.60 | Ср.награда(100):   556.11 | Шаги:   63
Эп   678 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0216 | Награда:   864.00 | Ср.награда(100):   565.96 | Шаги:  123
Эп   679 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0215 | Награда:   393.60 | Ср.награда(100):   567.22 | Шаги:   63
Эп   680 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0213 | Награда:   362.60 | Ср.награда(100):   571.46 | Шаги:   62
Эп   681 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0212 | Награда:   166.20 | Ср.награда(100):   562.15 | Шаги:   61
Эп   682 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0210 | Награда:   519.20 | Ср.награда(100):   567.66 | Шаги:   91
Эп   683 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0209 | Награда:   150.80 | Ср.награда(100):   562.72 | Шаги:   60
Эп   684 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0206 | Награда:  1151.40 | Ср.награда(100):   571.94 | Шаги:  135
Эп   685 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0205 | Награда:   368.40 | Ср.награда(100):   576.05 | Шаги:   63
Эп   686 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0204 | Награда:   365.20 | Ср.награда(100):   576.85 | Шаги:   63
Эп   687 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0202 | Награда:   114.20 | Ср.награда(100):   573.48 | Шаги:   57
Эп   688 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0201 | Награда:   156.00 | Ср.награда(100):   562.22 | Шаги:   60
Эп   689 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0200 | Награда:   335.80 | Ср.награда(100):   556.06 | Шаги:   65
Эп   690 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0199 | Награда:    30.40 | Ср.награда(100):   557.19 | Шаги:   52
Эп   691 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0198 | Награда:   -82.00 | Ср.награда(100):   553.19 | Шаги:   19
Эп   692 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0198 | Награда:   -82.00 | Ср.награда(100):   544.52 | Шаги:   19
Эп   693 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0196 | Награда:   812.60 | Ср.награда(100):   544.06 | Шаги:  105
Эп   694 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0195 | Награда:   306.80 | Ср.награда(100):   530.32 | Шаги:   63
Эп   695 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0194 | Награда:   280.00 | Ср.награда(100):   527.51 | Шаги:   65
Эп   696 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0192 | Награда:   362.40 | Ср.награда(100):   530.70 | Шаги:   63
Эп   697 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0188 | Награда:  2507.20 | Ср.награда(100):   557.35 | Шаги:  236
Эп   698 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0187 | Награда:   345.80 | Ср.награда(100):   556.51 | Шаги:   62
Эп   699 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0184 | Награда:   939.40 | Ср.награда(100):   562.65 | Шаги:  128
Эп   700 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0183 | Награда:    49.40 | Ср.награда(100):   560.86 | Шаги:   59
Эп   701 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0183 | Награда:   -82.00 | Ср.награда(100):   547.85 | Шаги:   19
Эп   702 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0182 | Награда:    51.00 | Ср.награда(100):   547.40 | Шаги:   58
Эп   703 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0179 | Награда:  1048.00 | Ср.награда(100):   557.21 | Шаги:  135
Эп   704 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0178 | Награда:   126.20 | Ср.награда(100):   553.04 | Шаги:   57
Эп   705 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0176 | Награда:   894.60 | Ср.награда(100):   554.31 | Шаги:  132
Эп   706 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0174 | Награда:   715.60 | Ср.награда(100):   557.44 | Шаги:  102
Эп   707 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0174 | Награда:   -82.00 | Ср.награда(100):   553.16 | Шаги:   19
Эп   708 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0174 | Награда:   -82.00 | Ср.награда(100):   551.60 | Шаги:   19
Эп   709 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0173 | Награда:   126.80 | Ср.награда(100):   552.11 | Шаги:   59
Эп   710 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0170 | Награда:  1294.60 | Ср.награда(100):   553.06 | Шаги:  138
Эп   711 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0169 | Награда:   298.20 | Ср.награда(100):   542.22 | Шаги:   64
Эп   712 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0168 | Награда:   138.80 | Ср.награда(100):   543.75 | Шаги:   61
Эп   713 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0162 | Награда:  3877.40 | Ср.награда(100):   584.11 | Шаги:  349
Эп   714 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0160 | Награда:   945.60 | Ср.награда(100):   589.64 | Шаги:  129
Эп   715 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0160 | Награда:   -82.00 | Ср.награда(100):   573.35 | Шаги:   19
Эп   716 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0159 | Награда:   -59.00 | Ср.награда(100):   566.80 | Шаги:   50
Эп   717 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0158 | Награда:   603.00 | Ср.награда(100):   561.02 | Шаги:   92
Эп   718 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0156 | Награда:  1347.20 | Ср.награда(100):   560.29 | Шаги:  137
Эп   719 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0153 | Награда:  1628.40 | Ср.награда(100):   568.49 | Шаги:  178
Эп   720 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0151 | Награда:   861.40 | Ср.награда(100):   556.79 | Шаги:  102
Эп   721 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0149 | Награда:  1720.80 | Ср.награда(100):   559.27 | Шаги:  174
Эп   722 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0144 | Награда:  3114.60 | Ср.награда(100):   589.38 | Шаги:  286
Эп   723 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0138 | Награда:  4718.60 | Ср.награда(100):   637.39 | Шаги:  428
Эп   724 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0138 | Награда:    99.40 | Ср.награда(100):   639.20 | Шаги:   57
Эп   725 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0137 | Награда:    60.00 | Ср.награда(100):   639.59 | Шаги:   57
Эп   726 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0136 | Награда:   312.40 | Ср.награда(100):   639.46 | Шаги:   62
Эп   727 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0133 | Награда:  2726.20 | Ср.награда(100):   664.13 | Шаги:  251
Эп   728 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0132 | Награда:   -82.00 | Ср.награда(100):   662.17 | Шаги:   19
Эп   729 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0132 | Награда:   -82.00 | Ср.награда(100):   647.62 | Шаги:   19
Эп   730 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0132 | Награда:   -82.00 | Ср.награда(100):   633.12 | Шаги:   19
Эп   731 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0132 | Награда:   -82.00 | Ср.награда(100):   621.86 | Шаги:   19
Эп   732 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0131 | Награда:   -82.00 | Ср.награда(100):   619.70 | Шаги:   19
Эп   733 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0130 | Награда:   343.80 | Ср.награда(100):   619.24 | Шаги:   65
Эп   734 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0129 | Награда:   621.20 | Ср.награда(100):   624.22 | Шаги:   97
Эп   735 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0127 | Награда:  1414.80 | Ср.награда(100):   636.79 | Шаги:  161
Эп   736 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0126 | Награда:   991.20 | Ср.награда(100):   645.53 | Шаги:  130
Эп   737 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0123 | Награда:  1675.00 | Ср.награда(100):   642.48 | Шаги:  177
Эп   738 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0123 | Награда:   113.60 | Ср.награда(100):   637.54 | Шаги:   60
Эп   739 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0120 | Награда:  1810.60 | Ср.награда(100):   654.25 | Шаги:  176
Эп   740 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0117 | Награда:  2610.60 | Ср.награда(100):   664.71 | Шаги:  249
Эп   741 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0116 | Награда:  1222.40 | Ср.награда(100):   676.76 | Шаги:  142
Эп   742 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0114 | Награда:  1707.40 | Ср.награда(100):   690.01 | Шаги:  198
Эп   743 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0112 | Награда:  1307.00 | Ср.награда(100):   686.51 | Шаги:  139
Эп   744 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0111 | Награда:  1094.80 | Ср.награда(100):   686.98 | Шаги:  132
Эп   745 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0110 | Награда:    58.60 | Ср.награда(100):   677.64 | Шаги:   58
Эп   746 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0109 | Награда:   951.00 | Ср.награда(100):   678.80 | Шаги:  125
Эп   747 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0104 | Награда:  4834.40 | Ср.награда(100):   699.38 | Шаги:  437
Эп   748 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0102 | Награда:  2064.60 | Ср.награда(100):   703.19 | Шаги:  204
Эп   749 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0101 | Награда:   380.80 | Ср.награда(100):   703.18 | Шаги:   66
Эп   750 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0100 | Награда:   500.40 | Ср.награда(100):   701.71 | Шаги:   87
Эп   751 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0099 | Награда:   984.40 | Ср.награда(100):   700.75 | Шаги:  131
Эп   752 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0095 | Награда:  3773.20 | Ср.награда(100):   731.68 | Шаги:  364
Эп   753 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0094 | Награда:  1557.80 | Ср.награда(100):   743.65 | Шаги:  163
Эп   754 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0092 | Награда:  1662.20 | Ср.награда(100):   751.94 | Шаги:  172
Эп   755 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0089 | Награда:  4091.00 | Ср.награда(100):   789.29 | Шаги:  363
Эп   756 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0088 | Награда:   748.40 | Ср.награда(100):   797.59 | Шаги:   99
Эп   757 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0088 | Награда:   292.20 | Ср.награда(100):   801.33 | Шаги:   62
Эп   758 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0086 | Награда:  1280.60 | Ср.награда(100):   814.96 | Шаги:  138
Эп   759 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0086 | Награда:   120.80 | Ср.награда(100):   804.59 | Шаги:   55
Эп   760 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0084 | Награда:  1431.80 | Ср.награда(100):   819.73 | Шаги:  167
Эп   761 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0084 | Награда:   542.00 | Ср.награда(100):   825.97 | Шаги:   88
Эп   762 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0083 | Награда:  1343.40 | Ср.награда(100):   840.23 | Шаги:  144
Эп   763 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0079 | Награда:  5006.00 | Ср.награда(100):   891.11 | Шаги:  464
Эп   764 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0075 | Награда:  4711.00 | Ср.награда(100):   939.04 | Шаги:  439
Эп   765 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0075 | Награда:    62.80 | Ср.награда(100):   936.01 | Шаги:   52
Эп   766 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0074 | Награда:   894.60 | Ср.награда(100):   937.16 | Шаги:  105
Эп   767 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0073 | Награда:  2123.80 | Ср.награда(100):   956.91 | Шаги:  215
Эп   768 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0071 | Награда:  1998.40 | Ср.награда(100):   963.46 | Шаги:  199
Эп   769 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0070 | Награда:  1783.00 | Ср.награда(100):   973.98 | Шаги:  177
Эп   770 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0068 | Награда:  2648.00 | Ср.награда(100):   998.88 | Шаги:  253
Эп   771 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0068 | Награда:   119.40 | Ср.награда(100):   984.02 | Шаги:   57
Эп   772 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0068 | Награда:   -82.00 | Ср.награда(100):   979.13 | Шаги:   19
Эп   773 | Счет:   0 | Ср.счет(100):   0.00 | Макс:   0 | Epsilon: 0.0066 | Награда:  2471.40 | Ср.награда(100):  1002.69 | Шаги:  248
